,filename,lx_top,ly_top,lx_bottom,ly_bottom,rx_top,ry_top,rx_bottom,ry_bottom
0,213/2/2022-11-07 11:21:55.981544-3832.jpg,211,431,450,520,703,424,898,503
1,213/2/2022-11-07 11:21:53.885969-3496.jpg,193,424,476,555,668,426,909,513
2,213/2/2022-11-07 11:22:49.885786-12444.jpg,174,459,469,566,677,457,896,572
3,213/2/2022-11-07 11:23:30.754257-18980.jpg,212,464,474,550,692,449,901,559
4,213/2/2022-11-07 11:23:49.113027-21896.jpg,176,399,475,544,641,409,904,528
5,213/2/2022-11-07 11:21:56.281694-3880.jpg,180,433,463,542,662,427,919,526
6,213/2/2022-11-07 11:21:54.233862-3552.jpg,213,419,472,553,683,404,899,517
7,213/2/2022-11-07 11:21:58.073835-4164.jpg,209,461,473,569,671,451,920,565
8,213/2/2022-11-07 11:24:25.161282-27252.jpg,202,468,483,563,667,470,925,571
9,213/2/2022-11-07 11:21:54.556161-3604.jpg,198,420,460,551,663,424,923,536
10,213/2/2022-11-07 11:22:56.836963-13556.jpg,204,453,457,574,677,452,905,565
11,213/2/2022-11-07 11:24:34.469153-28732.jpg,225,407,498,510,670,414,919,532
12,213/2/2022-11-07 11:23:25.802172-18188.jpg,171,469,466,557,652,452,904,566
13,213/2/2022-11-07 11:23:00.835573-14196.jpg,168,409,474,558,619,424,909,543
14,213/2/2022-11-07 11:23:28.377658-18600.jpg,231,414,481,530,663,409,896,520
15,213/2/2022-11-07 11:23:01.335743-14276.jpg,191,398,494,535,660,423,922,517
16,213/2/2022-11-07 11:21:51.334589-3088.jpg,190,421,475,541,661,404,905,518
17,213/2/2022-11-07 11:21:54.906416-3660.jpg,191,412,476,538,675,409,921,511
18,213/2/2022-11-07 11:21:58.336701-4208.jpg,201,466,448,575,621,463,907,570
19,213/2/2022-11-07 11:25:38.629875-38972.jpg,215,400,448,529,685,405,907,513
20,213/2/2022-11-07 11:23:04.127402-14720.jpg,205,426,465,546,678,413,907,528
21,213/2/2022-11-07 11:25:40.574225-39272.jpg,221,457,466,562,690,472,898,580
22,213/2/2022-11-07 11:23:01.188110-14252.jpg,208,427,445,549,676,448,903,516
23,213/2/2022-11-07 11:23:29.178680-18728.jpg,218,486,474,585,706,472,913,568
24,213/2/2022-11-07 11:24:24.804912-27224.jpg,227,412,472,545,648,443,905,532
25,213/2/2022-11-07 11:25:41.023384-39344.jpg,226,421,474,541,689,416,925,535
26,213/2/2022-11-07 11:21:50.230649-2912.jpg,217,430,472,548,675,424,917,517
27,213/2/2022-11-07 11:21:56.208621-3868.jpg,230,422,455,513,675,415,904,506
28,213/2/2022-11-07 11:25:39.888408-39160.jpg,239,406,475,533,705,418,890,524
29,213/2/2022-11-07 11:23:25.582246-18152.jpg,213,428,448,555,669,422,889,546
30,213/2/2022-11-07 11:23:05.248738-14900.jpg,173,475,439,555,638,476,880,557
31,213/2/2022-11-07 11:23:36.116451-19836.jpg,227,426,452,545,678,421,899,532
32,213/2/2022-11-07 11:25:39.085079-39040.jpg,197,406,457,539,671,424,903,527
33,213/2/2022-11-07 11:21:50.580789-2968.jpg,206,440,460,556,661,425,900,540
34,213/2/2022-11-07 11:23:04.523649-14784.jpg,212,483,454,586,677,479,894,555
35,213/2/2022-11-07 11:21:54.481358-3592.jpg,198,428,463,550,658,425,900,536
36,213/2/2022-11-07 11:23:27.628586-18480.jpg,202,424,452,531,675,422,880,518
37,213/2/2022-11-07 11:22:04.973233-5264.jpg,223,420,481,535,689,420,915,526
38,213/2/2022-11-07 11:25:45.073962-39992.jpg,234,454,469,557,694,446,908,530
39,213/2/2022-11-07 11:21:50.305522-2924.jpg,221,414,476,542,674,408,895,534
40,213/2/2022-11-07 11:23:26.579043-18312.jpg,215,461,442,575,669,464,901,562
41,213/2/2022-11-07 11:25:45.488661-40056.jpg,223,416,475,530,663,413,908,535
42,213/2/2022-11-07 11:21:54.331469-3568.jpg,212,425,463,538,685,429,900,517
43,213/2/2022-11-07 11:21:56.431553-3904.jpg,220,438,464,538,671,442,906,538
44,213/2/2022-11-07 11:22:03.020036-4952.jpg,230,405,471,539,659,412,894,515
45,213/2/2022-11-07 11:23:29.630911-18800.jpg,218,416,484,547,706,413,905,534
46,213/2/2022-11-07 11:22:50.734449-12580.jpg,206,461,451,541,677,443,914,548
47,213/2/2022-11-07 11:21:58.995333-4300.jpg,218,399,464,544,662,411,901,529
48,213/2/2022-11-07 11:23:14.890529-16440.jpg,217,421,444,540,688,415,889,530
49,213/2/2022-11-07 11:22:04.172272-5136.jpg,197,409,460,529,674,397,879,514
